state_id,state_name,latitude,longitude
1,ANDAMAN AND NICOBAR ISLANDS,11.7401,92.6586
2,ANDHRA PRADESH,15.9129,79.74
3,ARUNACHAL PRADESH,28.218,94.7278
4,ASSAM,31.1048,77.1734
5,BIHAR,25.0961,85.3131
6,CHHATTISGARH,21.2787,81.8661
7,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,20.1809,73.0169
8,DELHI,28.7041,77.1025
9,GOA,15.2993,74.124
10,GUJARAT,22.2587,71.1924
11,HARYANA,29.0588,76.0856
12,HIMACHAL PRADESH,31.1048,77.1734
13,JHARKHAND,23.6102,85.2799
14,KARNATAKA,15.3173,75.7139
15,KERALA,10.8505,76.2711
16,LAKSHADWEEP,10.0,73.0
17,MADHYA PRADESH,22.9734,78.6569
18,MAHARASHTRA,19.7515,75.7139
19,MANIPUR,24.6637,93.9063
20,MEGHALAYA,25.467,91.3662
21,MIZORAM,23.1645,92.9376
22,NAGALAND,26.1584,94.5624
23,ODISHA,20.9517,85.0985
24,PUDUCHERRY,11.9416,79.8083
25,PUNJAB,31.1471,75.3412
26,RAJASTHAN,27.0238,74.2179
27,SIKKIM,27.533,88.5122
28,TAMIL NADU,11.1271,78.6569
29,TELANGANA,18.1124,79.0193
30,TRIPURA,23.9408,91.9882
31,CHANDIGARH,30.7333,76.7794
32,JAMMU AND KASHMIR,33.7782,76.5762
33,LADAKH,34.2996,78.2932
34,UTTAR PRADESH,26.8467,80.9462
35,UTTARAKHAND,30.0668,79.0193
36,WEST BENGAL,22.9868,87.855
