Sr_No,Location_Coordinates,Hospital_Name,District,Address_First_Line,State,Pincode,Telephone,,,
1,"11.6357989, 92.7120575",Chakraborty Multi Speciality Hospital,South Andaman,Near Dollygunj Junction,Andaman and Nicobar Islands,744101,03192 251971,,,
2,"11.8311681, 92.6586401",Inhs Dhanvantri,South Andaman,Medical Board Office,Andaman and Nicobar Islands,744101,0,,,
3,"11.8311681, 92.6586401",Maricar Hospital,South Andaman,Near Masjid,Andaman and Nicobar Islands,744103,03192 233434,,,
4,"11.6498468, 92.7294624",Pillar Health Centre,South Andaman,"Lamba Line, P.B. No. 526",Andaman and Nicobar Islands,744103,03192 233193,,,
5,"11.6233774, 92.7264828","G B Pant Hospital, Port Blair",South Andaman,"GB Pant Road, City Centre, Port Blair",Andaman and Nicobar Islands,744103,"03192 233665, 03192 246058, 03192 233455, 03192 230858",,,
6,"17.4274003, 78.4311174","Care Hospital, Banjara",Hyderabad,"Road No.1, Banjara Hills",Andhra Pradesh,500034,"040 30418888, 040 66668888, 040 23234444",,,
7,"14.6795736, 77.592469",Aasha Hospitals,Anantapur,"7/201, Court Road",Andhra Pradesh,515001,08554    274194,,,
8,"14.72422, 77.4306738",Abhaya Kidney Care Multispeciality Hospital,Anantapur,"10-470, Adimurthy Nagar, Opposite Guild Off Service School",Andhra Pradesh,515001,277444,,,
9,"14.6818877, 77.6005911",Baby Hospital,Anantapur,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex",Andhra Pradesh,515001,0,,,
10,"14.6723351, 77.6018211",Dr Akbar Eye Hospital And Laser Centre,Anantapur,"12-3-234, 6Th Cross Sai Nagar",Andhra Pradesh,515001,08554    235009,,,
11,"14.72422, 77.4306738",Dr.Ysr Memorial Hospitals,Anantapur,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch",Andhra Pradesh,515001,08554  247155,,,
12,"14.6749908, 77.6032432",Hrudaya Children Hospital,Anantapur,Sai Nagar Iind Cross,Andhra Pradesh,515001,0,,,
13,"17.4738037, 78.5641765","Jeevana Jyothi Hospitals Ltd.,",Anantapur,"#15-381, Kamala Nagar",Andhra Pradesh,515001,0,,,
14,"14.72422, 77.4306738",K K Nursing Home,Anantapur,Opposite Annapurna Lodge Kamalanagar,Andhra Pradesh,515001,08554  222133,,,
15,"14.6818877, 77.6005911",Meda Nursing Home,Anantapur,Railway Station Road,Andhra Pradesh,515001,08554    277562,,,
