district_id,district_name,state_name,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
1,AHILYANAGAR,MAHARASHTRA,19.26543469320783,74.63757631228916,4543159,2342825,2200334,556014,300238,255776
2,AKOLA,MAHARASHTRA,20.765137782627118,77.0547006588983,1813906,932334,881572,211080,110372,100708
3,AMRAVATI,MAHARASHTRA,21.128580486153844,77.64820689868131,2888445,1480768,1407677,311391,160934,150457
4,CHHATRAPATI SAMBHAJINAGAR,MAHARASHTRA,19.944847311671925,75.41925964069401,3701282,1924469,1776813,532659,286721,245938
5,BHANDARA,MAHARASHTRA,21.179723271014495,79.25251564782609,1200334,605520,594814,126025,64626,61399
6,BEED,MAHARASHTRA,18.957224548181816,75.62572569424242,2585049,1349106,1235943,352890,195245,157645
7,BULDHANA,MAHARASHTRA,20.489346416713882,76.19611229121813,2586258,1337560,1248698,332125,179072,153053
8,CHANDRAPUR,MAHARASHTRA,20.680430847286587,78.56713846042683,2204307,1123834,1080473,231316,118471,112845
9,DHULE,MAHARASHTRA,21.09004289888889,74.48047091592592,2050862,1054031,996831,273507,144121,129386
10,GADCHIROLI,MAHARASHTRA,20.63639357647059,79.42528696764707,1072942,541328,531614,120272,61320,58952
11,GONDIYA,MAHARASHTRA,21.302498825748504,79.9048506275449,1322507,661554,660953,140365,71764,68601
12,HINGOLI,MAHARASHTRA,71.41152509586777,24.73445725371901,1177345,606294,571051,165716,88052,77664
13,JALGAON,MAHARASHTRA,20.76134140182927,74.84583924085365,4229917,2197365,2032552,532005,288827,243178
14,JALNA,MAHARASHTRA,31.79937209147727,64.00706570454545,1959046,1011473,947573,287338,153642,133696
15,KOLHAPUR,MAHARASHTRA,16.60630039894737,74.30376235873685,3876001,1980658,1895343,408942,219521,189421
16,LATUR,MAHARASHTRA,18.348556125614035,76.49762405929825,3876001,1980658,1895343,408942,219521,189421
17,MUMBAI,MAHARASHTRA,19.446040649122807,72.36373664912281,3085411,1684608,1400803,272886,142566,130320
18,MUMBAI SUBURBAN,MAHARASHTRA,19.11878330833333,72.87393688666666,9356962,5031323,4325639,930884,486696,444188
19,NAGPUR,MAHARASHTRA,21.41470797226994,78.84095818131902,4653570,2384975,2268595,497087,257438,239649
20,NANDED,MAHARASHTRA,19.199923127595742,77.39272357200001,3361292,1730075,1631217,459572,240620,218952
21,NANDURBAR,MAHARASHTRA,21.453526988059703,74.28173913383085,1648295,833170,815125,240222,123582,116640
22,NASHIK,MAHARASHTRA,20.219182938839285,74.06883452782738,6107187,3157186,2950001,827935,438050,389885
23,DHARASHIV,MAHARASHTRA,18.269509426573425,76.10789585244754,1657576,861535,796041,207096,110919,96177
24,PARBHANI,MAHARASHTRA,71.46453723368984,24.40729974064171,1836086,942870,893216,257320,136605,120715
25,PUNE,MAHARASHTRA,18.565781050762276,73.89409255768733,9429408,4924105,4505303,1104959,586665,518294
26,RAIGAD,MAHARASHTRA,18.481391702257337,73.20918800970655,2634200,1344345,1289855,300815,155437,145378
27,RATNAGIRI,MAHARASHTRA,17.27895509276018,73.3632406597285,1615069,761121,853948,155560,80333,75227
28,SANGLI,MAHARASHTRA,17.23956558827751,74.43125957272727,2822143,1435728,1386415,306777,164355,142422
29,SATARA,MAHARASHTRA,17.660319906296852,74.14925630434783,3003741,1510842,1492899,317885,167729,150156
30,SINDHUDURG,MAHARASHTRA,16.129457185714283,73.68495499137467,849651,417332,432319,71193,37034,34159
31,SOLAPUR,MAHARASHTRA,19.019509447565543,74.2110501670412,4317756,2227852,2089904,538453,285879,252574
32,WARDHA,MAHARASHTRA,20.7397739198895,78.511073639779,1300774,668385,632389,128901,67187,61714
33,WASHIM,MAHARASHTRA,20.218909891463415,77.17913346829268,1197160,620302,576858,152190,81686,70504
34,YAVATMAL,MAHARASHTRA,20.146265170459458,78.07358388940541,2772348,1419965,1352383,330180,171782,158398
35,THANE,MAHARASHTRA,19.295112535714285,73.01962990809524,8070032,4319299,3750733,923541,482689,440852
36,PALGHAR,MAHARASHTRA,19.722205247826086,72.7479302526087,2811746,1453789,1357957,379485,194652,184833
