hospital_id,district_id,hospital_name,address,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type,government_subtype
1,35,INDRAVATI HOSPITAL & RESEARCH CENTRE,"Plot no. GHANSOLI VILLAGE, RCC HOUSE, ARJUNE WADI %E2%80%93 Thane %E2%80%93 400701",400701.0,19.1243889,72.9976111,8452862559.0,30,Corporate,
2,35,MAHATMA PHULE CHARITABLE TRUST HOSPITAL,"C7, Budhyadev Mandir Marg, Sector 4, Sanpada, Navi Mumbai, Maharashtra",400705.0,19.0718611,73.0074444,9702693695.0,100,Corporate,
3,17,REHBAR FOUNDATION MALIK RAKIYA KHATOON DIALYSIS CENTER,,,19.446040649122807,72.36373664912281,,15,Corporate,
4,19,SANJEEVANI HOSPITAL,"NEAR TAHSIL OFFICE, GOTMARE LAYOUT,  BRAHMI KALMESHWAR %C2%BF 441501",441501.0,21.231603,78.91739,9860447504.0,30,Corporate,
5,35,A & G HOSPITAL,Suchak House murbad road opp karnik road kalyan (w),421301.0,19.5353,76.1449,9326114930.0,50,Corporate,
6,2,AADHAR CHARITABLEMULTISPECIALITY HOSPITAL,"01,MURTIJAPUR,AKOLA",444107.0,20.71,77.39,9373167397.0,30,Corporate,
7,20,AADHAR HOSPITAL,"Wadiya factory, Shivaji Nagar Nanded?%27,%27HSP241111494%27)",431602.0,19.2,77.4,9823088039.0,67,Corporate,
8,6,AADHAR HOSPITAL,"Adharsh Nagar  , D.P.Road , Beed - 431122",431122.0,19.839128,75.890447,8237171929.0,30,Corporate,
9,25,"AADHAR HOSPITAL MULTISPECIALITY & ICU ( Managed by Haritatv Ayurved Pvt. Ltd.),Pune","67 SARVER NO 28, DEHU ROD NEAR RAJGURU BANK, Haveli, Pune-412101",412101.0,18.7693514,73.4041588,7385159540.0,30,Corporate,
10,23,AADHAR MULTISPECIALITY HOSPITAL,"NEW AROGYA NAGAR, UMARGA %C2%BF 413606",413606.0,17.8319935,76.6252018,9146164265.0,25,Corporate,
11,31,"AADHAR SUPER SPECIALITY PVT LTD,Solapur North,Solapur,PVT","140/1P, OLD RTO, RAILWAY LINES, SOLAPUR-413001",413304.0,17.794052,75.35725,9923988299.0,30,Corporate,
12,28,AADITYA ORTHO&GEN SURGICAL HOSPITAL,"A/p Ashta, Tal. Walva, Dist. Sangli",416301.0,16.95,74.43,9860469694.0,30,Corporate,
13,2,AAROGYAM HOSPITAL,"01 , STATION ROAD INFRONT OF IDBI BANK GANGADHAR PLOT AKOLA , 444001",444001.0,20.71,77.0,9028395411.0,15,Corporate,
14,3,AAROGYAM INSTITUTE OF MEDICAL SCIENCES,"WALCUT COMPOUND, BAJAJ NAGAR,MORSHI ROAD,NEAR RAILWAY STATION,AMRAVATI?%27,%27HSI47129%27)",444601.0,20.9298611,77.7523056,9823069100.0,50,Corporate,
15,4,AAROGYAM WOMEN AND CHLDREN CARE HOSPITAL PVT.LTD,,,19.944847311671925,75.41925964069401,,49,Corporate,
16,2,AASTHA ORTHOPEDIC HOSPITAL AND DIAGNOSTIC CENTER,"MAHAJANI PLOTS , near mahajani hospital , JATHAR PETH ROAD , near jain lawns - 444004",444004.0,20.67,77.03,8830342299.0,10,Corporate,
17,19,ABO EYE INSTITUTE,31BAIDYANATH SQUARE NAGPUR 440003,440003.0,21.12283333,79.08502778,9890162229.0,50,Corporate,
18,15,ACCIDENT FRACTURE ORTHOPEDIC & REPLACEMENT HOSPITAL,"20/564, BEHIND HOTEL UPAVAN, KOLHAPUR ROAD, Hatkanangle, Kolhapur- 416115",416115.0,16.40594444,74.28052778,9922556655.0,15,Corporate,
