district,total_persons,total_males,total_females,children_persons,children_males,children_females
AHILYANAGAR,4543159,2342825,2200334,556014,300238,255776
AKOLA,1813906,932334,881572,211080,110372,100708
AMRAVATI,2888445,1480768,1407677,311391,160934,150457
CHHATRAPATI SAMBHAJINAGAR,3701282,1924469,1776813,532659,286721,245938
BHANDARA,1200334,605520,594814,126025,64626,61399
BEED,2585049,1349106,1235943,352890,195245,157645
BULDHANA,2586258,1337560,1248698,332125,179072,153053
CHANDRAPUR,2204307,1123834,1080473,231316,118471,112845
DHULE,2050862,1054031,996831,273507,144121,129386
GADCHIROLI,1072942,541328,531614,120272,61320,58952
GONDIYA,1322507,661554,660953,140365,71764,68601
HINGOLI,1177345,606294,571051,165716,88052,77664
JALGAON,4229917,2197365,2032552,532005,288827,243178
JALNA,1959046,1011473,947573,287338,153642,133696
KOLHAPUR,3876001,1980658,1895343,408942,219521,189421
LATUR,3876001,1980658,1895343,408942,219521,189421
MUMBAI,3085411,1684608,1400803,272886,142566,130320
MUMBAI SUBURBAN,9356962,5031323,4325639,930884,486696,444188
NAGPUR,4653570,2384975,2268595,497087,257438,239649
NANDED,3361292,1730075,1631217,459572,240620,218952
NANDURBAR,1648295,833170,815125,240222,123582,116640
NASHIK,6107187,3157186,2950001,827935,438050,389885
DHARASHIV,1657576,861535,796041,207096,110919,96177
PARBHANI,1836086,942870,893216,257320,136605,120715
PUNE,9429408,4924105,4505303,1104959,586665,518294
RAIGAD,2634200,1344345,1289855,300815,155437,145378
RATNAGIRI,1615069,761121,853948,155560,80333,75227
SANGLI,2822143,1435728,1386415,306777,164355,142422
SATARA,3003741,1510842,1492899,317885,167729,150156
SINDHUDURG,849651,417332,432319,71193,37034,34159
SOLAPUR,4317756,2227852,2089904,538453,285879,252574
WARDHA,1300774,668385,632389,128901,67187,61714
WASHIM,1197160,620302,576858,152190,81686,70504
YAVATMAL,2772348,1419965,1352383,330180,171782,158398
THANE,8070032,4319299,3750733,923541,482689,440852
PALGHAR,2811746,1453789,1357957,379485,194652,184833
